,nyt_img_id,caption,perturbed_caption_1,goog_img_id_1,perturbed_caption_2,goog_img_id_2,perturbed_caption_3,goog_img_id_3
15,6f7c569b-a885-5f60-aff3-6bb777bf334f,"A morning mist filled the valley near Hatgal, a small village at the southern tip of Lake Khovsgol in north central Mongolia. Glancing at the figures between the fragrant pines and larches, I could hardly distinguish the silhouettes of the reindeer from those of their herders.",A morning mist,6f7c569b-a885-5f60-aff3-6bb777bf334f_cap1_2,Hatgal,6f7c569b-a885-5f60-aff3-6bb777bf334f_cap2_3,"A morning mist filled the valley near Hatgal, a small village at the southern tip",6f7c569b-a885-5f60-aff3-6bb777bf334f_cap0_3
16,730a8a68-bdea-539f-8d57-051c09361893,"A light rain fell as I fought through a sea of masked fighters for a glimpse into the center ring. From a few feet away, I watched as two local fighters struck at each other with their bare fists.",two local fighters,730a8a68-bdea-539f-8d57-051c09361893_cap2_2,A light rain fell as I fought through a sea of masked fighters for a glimpse into,730a8a68-bdea-539f-8d57-051c09361893_cap0_3,A light rain,730a8a68-bdea-539f-8d57-051c09361893_cap1_2
17,73c103d9-8d0c-5e8b-a144-56da79105d98,"Ahead of Inauguration Day on Jan. 20, and in light of last Wednesdays insurrection, when a mob of President Trumps supporters stormed the Capitol during the certification of electoral votes, Washington-area airports and hotels, as well as airlines that fly into the region, are tightening security measures.",a mob of President Trumps supporters,73c103d9-8d0c-5e8b-a144-56da79105d98_cap1_2,Washington-area airports and hotels are tightening security measures ahead of inauguration,73c103d9-8d0c-5e8b-a144-56da79105d98_cap0_3,Trumps,73c103d9-8d0c-5e8b-a144-56da79105d98_cap2_3
18,78ae41c8-320e-5199-8429-aeb0f023390b,"David Beek knows the waterways in Newport Beach, Calif., better than anyone. His family has owned and operated the Balboa Island Ferry, a commuter boat for both cars and people, for more than 100 years. And from his perch on the ferrys fuel dock, he can see everything thats happening in Newport Harbor.",David Beek has owned and operated the Balboa Island Ferry for more than 100 years,78ae41c8-320e-5199-8429-aeb0f023390b_cap0_3,Newport Beach,78ae41c8-320e-5199-8429-aeb0f023390b_cap2_3,David Beek,78ae41c8-320e-5199-8429-aeb0f023390b_cap1_1
19,7c6db783-074d-50e5-bb58-4ea17cbb83e4,"It was the chance to visit a once-in-a-lifetime destination in a once-in-a-lifetime way.  practically alone. Visiting the sites of ancient Egypt had long been on the bucket list of Alexander Pancoe, 34, and Nina Laski, 27, of Chicago. Last winter, when they learned the country was open to tourists despite the pandemic, they planned a trip to Luxor and the Valley of The Kings. Places like the Temple of Karnak, which would be packed in the high season, we had all to ourselves, Mr. Pancoe said, and were even more stunning than they expected. There is no photo or movie that does justice to the place, he said.",Visiting the sites of ancient Egypt,7c6db783-074d-50e5-bb58-4ea17cbb83e4_cap1_0,Chicago couple visit Luxor and the Valley of The Kings in Egypt,7c6db783-074d-50e5-bb58-4ea17cbb83e4_cap0_3,Egypt,7c6db783-074d-50e5-bb58-4ea17cbb83e4_cap2_0
20,8a9b3468-aeb6-5aad-9a2b-ee7fc0c67ed9,"April DeMuth and her partner, Warren Watson, had just finished what they described as the perfect vacation in Greece when they took a coronavirus test at the Athens airport. They had spent their days sipping coffee on their hotel balcony overlooking the Venetian windmills in Mykonos.  driving buggies across red sand beaches in Santorini.  watching the Parthenon turn shades of gold at sunset.  and eating gyros at midnight.",DeMuth,8a9b3468-aeb6-5aad-9a2b-ee7fc0c67ed9_cap2_0,"April DeMuth and her partner, Warren Watson,",8a9b3468-aeb6-5aad-9a2b-ee7fc0c67ed9_cap1_2,"April DeMuth and her partner, Warren Watson, had just finished what they described",8a9b3468-aeb6-5aad-9a2b-ee7fc0c67ed9_cap0_1
21,8eab3b2d-a380-5705-a939-9c44978783e1,"Pretend its a Monday in midsummer. You live in or near a big city, a few hours from mountains or forests, and you want to go camping this coming weekend  a few days away. Before the pandemic, that may have been possible. But these days the outdoors and camping are having their biggest boom since humans lived in caves, and finding a last-minute campsite is about as hard as spotting wild glowing mushrooms.",finding a last-minute campsite,8eab3b2d-a380-5705-a939-9c44978783e1_cap2_0,the outdoors and camping,8eab3b2d-a380-5705-a939-9c44978783e1_cap1_2, camping is having its biggest boom since humans lived in caves,8eab3b2d-a380-5705-a939-9c44978783e1_cap0_3
22,93aaa242-c985-5bbe-86e0-39257d8868de,"We were stepping carefully through a dripping wet forest at the edge of the beach, at night. Above us, 150-foot-tall trees towered, their canopy blotting out the stars. I could hear bats chittering and waves crashing. The smell of wet leaves cut through the salty air.","We were stepping carefully through a dripping wet forest at the edge of the beach, at",93aaa242-c985-5bbe-86e0-39257d8868de_cap0_2,150-foot-tall trees,93aaa242-c985-5bbe-86e0-39257d8868de_cap1_1,The smell of wet leaves,93aaa242-c985-5bbe-86e0-39257d8868de_cap2_2
23,953d6c9c-e4d9-5750-8ba7-591a2fdfd57c,"Svetlana Reznikova-Steinway, an emergency-room physician who lives in Phoenix, has spent the better part of a year pulling double-duty in an overwhelmed intensive care unit. Early in the pandemic, she and her husband, a urologist, developed a system for after work, stripping off their scrubs in their garage to protect their 12-year-old daughter and 10-year-old twin sons from the virus. She has gotten used to intubating critically ill Covid-19 patients. She has learned how to delicately use patients phones to FaceTime family members so that everyone can say their goodbyes.",Svetlana Reznikova-Steinway is an emergency-room physician,953d6c9c-e4d9-5750-8ba7-591a2fdfd57c_cap0_3,"Svetlana Reznikova-Steinway, an emergency-room physician who lives in Phoenix,",953d6c9c-e4d9-5750-8ba7-591a2fdfd57c_cap2_2,"she and her husband, a urologist,",953d6c9c-e4d9-5750-8ba7-591a2fdfd57c_cap1_1
24,96330ae3-248c-5650-a737-5b34de0fc1de,"The road ends, and the old Soviet car Im in  a Lada Niva  begins to shake on the unpaved lane. In the darkness, Erdni, the driver, somehow manages to maneuver between large gullies and mounds of sand that seem impossible to discern.","Erdni, the driver,",96330ae3-248c-5650-a737-5b34de0fc1de_cap1_0,"The road ends, and the old Soviet car begins to shake on the unpaved lane",96330ae3-248c-5650-a737-5b34de0fc1de_cap0_3,the old Soviet car Im in  a Lada Niva  ,96330ae3-248c-5650-a737-5b34de0fc1de_cap2_0
25,9dc293bd-9ba5-5c9d-bc12-e8091c587e31,"So, youre thinking about traveling again? Youre not alone. The pandemic may not be over, but the expansion of vaccine eligibility in the United States  hiccups, delays and pauses aside  plus the news that the European Union will be opening up to vaccinated travelers is inspiring many to plan a real-deal summer vacation, or even take the leap on booking bucket-list adventures.",the European Union,9dc293bd-9ba5-5c9d-bc12-e8091c587e31_cap1_2,"the expansion of vaccine eligibility in the United States  hiccups, delays and pauses aside  plus the news that the European Union will be opening up to vaccinated travelers",9dc293bd-9ba5-5c9d-bc12-e8091c587e31_cap2_2,The European Union will be opening up to vaccinated travelers,9dc293bd-9ba5-5c9d-bc12-e8091c587e31_cap0_0
26,a38e0254-a096-5555-bfe5-3c5f0524b9ef,If the start of spring break is any indication  when an average of more than a million fliers a day passed through security at U.S. airports  domestic summer travel is poised to pop.,an average of more than a million fliers a day,a38e0254-a096-5555-bfe5-3c5f0524b9ef_cap2_1,the start of spring break,a38e0254-a096-5555-bfe5-3c5f0524b9ef_cap1_1,More than a million fliers a day pass through security at U,a38e0254-a096-5555-bfe5-3c5f0524b9ef_cap0_3
27,a451b299-0bfb-5fab-a2b6-61a76882f26a,"Five months ago, San Francisco International Airport opened the first airport rapid coronavirus testing site in the United States. Nine months ago, some of the worlds most luxurious hotels, including Claridges in London and the Four Seasons in New York, began housing frontline doctors and nurses. And now another entity in the travel world is performing its own pandemic shift.  Disneyland. This week the Anaheim, Calif., theme park began serving as a vaccination super site.","some of the worlds most luxurious hotels, including Claridges in London and the Four Seasons in New York,",a451b299-0bfb-5fab-a2b6-61a76882f26a_cap1_2,"the Anaheim, Calif., theme park",a451b299-0bfb-5fab-a2b6-61a76882f26a_cap2_1,"Disneyland in Anaheim, California, has become a rapid coronavirus testing site",a451b299-0bfb-5fab-a2b6-61a76882f26a_cap0_3
28,a6bc0632-b427-5321-804f-a2c080b53b88,"To witness her sons graduation from the National Guards Apache helicopter training program in April 2020, Janet Chen used Expedia to book what she thought was a round-trip ticket on Delta Air Lines from her home in Wake Forest, N.C., to Dothan Airport in Alabama. When the pandemic made travel dangerous, she canceled her trip and received a voucher for its full $500 value, to be used within 18 months.",Janet Chen,a6bc0632-b427-5321-804f-a2c080b53b88_cap2_2,the National Guards Apache,a6bc0632-b427-5321-804f-a2c080b53b88_cap1_3,Janet Chen used Expedia to book what she thought was a round-trip ticket,a6bc0632-b427-5321-804f-a2c080b53b88_cap0_1
29,a6bf59cb-ee61-5bd3-bde9-f8f0df7f24c5,"We could have just taken them to the west side of Florida, to a nice hotel, said David Egozi, speaking of his three children and the dream of their first big family trip of the pandemic. But Mr. Egozi, a 36-year-old real estate developer from Aventura, Fla., and his wife, Jessica, have always been avid travelers, dotting the calendar with one trip after the next, including regular visits to see family in Israel.","David Egozi and his wife, Jessica, have always been avid travelers",a6bf59cb-ee61-5bd3-bde9-f8f0df7f24c5_cap0_3,"David Egozi,",a6bf59cb-ee61-5bd3-bde9-f8f0df7f24c5_cap1_1,"Mr. Egozi, a 36-year-old real estate developer from Aventura, Fla., and his wife, Jessica,",a6bf59cb-ee61-5bd3-bde9-f8f0df7f24c5_cap2_1
30,aac1d2eb-f96f-5da9-9aeb-79b55ebb01b9,"In 2020, governments across the world closed borders, airlines grounded flights, hotels shuttered and cruises were canceled or postponed.","In 2020, governments across the world closed borders, airlines grounded flights, hotels shuttered",aac1d2eb-f96f-5da9-9aeb-79b55ebb01b9_cap0_2,governments across the world,aac1d2eb-f96f-5da9-9aeb-79b55ebb01b9_cap1_1,"governments across the world closed borders, airlines grounded flights, hotels shuttered and cruises",aac1d2eb-f96f-5da9-9aeb-79b55ebb01b9_cap2_0
31,ae529619-01b3-5181-be7f-5b0646d8c301,"On a clear day, from the 17th-century La Popa Convent on the crest of a 500-foot hill, the view of Cartagena can trigger mild vertigo. Slowly, using the skyline as your guidepost to the Colombian port city, you can begin to get your bearings. That improbable cluster of skyscrapers is Bocagrande, a neighborhood where beach resorts share space with gleaming office towers. Next in the panorama is the walled old city, where narrow alleyways connect colonial-era churches with brightly colored shops and restaurants. In between the two neighborhoods is another.  Getsemani, unremarkable from afar but, on closer inspection, a veritable street art gallery exploding with creative energy.","Cartagena's skyline can give visitors vertigo, but the old city and beach",ae529619-01b3-5181-be7f-5b0646d8c301_cap0_2,That improbable cluster of skyscrapers,ae529619-01b3-5181-be7f-5b0646d8c301_cap1_0,"the walled old city, where narrow alleyways connect colonial-era churches with brightly colored shops and restaurants",ae529619-01b3-5181-be7f-5b0646d8c301_cap2_1
32,afca1496-f801-5637-8796-1c3f7696ce20,"The trail to our yurt was narrow, muddy and peppered with tiny ceramic and plastic gnomes, fairies and bears. My 8-year-old daughter, clutching her stuffed giraffe and gingerly avoiding the knotty roots, spotted a miniature tiger, crouched at the base of a pine tree.",The trail to our yurt,afca1496-f801-5637-8796-1c3f7696ce20_cap1_0,"My 8-year-old daughter, clutching her stuffed giraffe and gingerly avoiding the knotty roots,",afca1496-f801-5637-8796-1c3f7696ce20_cap2_1,"The trail to our yurt was narrow, muddy and peppered with tiny ceramic and",afca1496-f801-5637-8796-1c3f7696ce20_cap0_2
33,b3bad00c-6553-5533-93c4-a0945889e6b2,"For as long as I can remember, the forests, lakes and mountains of my native Sweden have been my refuge. Half of the photos from my childhood depict me with an armful of wildflowers or a bucket brimming with  not to mention my face covered with the juices of  blueberries.","For as long as I can remember, the forests, lakes and mountains of my native",b3bad00c-6553-5533-93c4-a0945889e6b2_cap0_1,Half of the photos from my childhood,b3bad00c-6553-5533-93c4-a0945889e6b2_cap2_3,"the forests, lakes and mountains of my native Sweden",b3bad00c-6553-5533-93c4-a0945889e6b2_cap1_1
34,b3d24bdc-45fc-5e5a-a2e3-2cbf5d671f1f,"Passengers on board a United Airlines flight from Denver to Honolulu had several moments of terror on Feb. 20 when their plane, a Boeing 777-200, experienced a right-engine failure shortly after takeoff, causing a massive bang and sending debris raining down over a quiet Denver suburb. Passengers captured video, much of it shared on social media, of the planes Pratt & Whitney engine, its cover ripped off, its turbine oscillating and in flames. The plane, which had 231 passengers and 10 crew members on board, returned to Denver and landed safely.",A United Airlines flight from Denver to Honolulu experienced a right-engine failure shortly,b3d24bdc-45fc-5e5a-a2e3-2cbf5d671f1f_cap0_0,Passengers on board,b3d24bdc-45fc-5e5a-a2e3-2cbf5d671f1f_cap1_2,a United Airlines flight from Denver to Honolulu,b3d24bdc-45fc-5e5a-a2e3-2cbf5d671f1f_cap2_0
35,b908747c-8cfe-550d-9582-dfaf1838a9f8,"Qantas, Australias largest airline, will require that all passengers on international flights are vaccinated against the coronavirus when it restarts worldwide operations in December, its chief executive said Wednesday, making it one of the first airlines in the world to require proof of vaccination for everyone on board.",Qantas will require that all passengers on international flights are vaccinated against the coronav,b908747c-8cfe-550d-9582-dfaf1838a9f8_cap0_2,it one of the first airlines in the world,b908747c-8cfe-550d-9582-dfaf1838a9f8_cap2_1,"Qantas, Australias largest airline,",b908747c-8cfe-550d-9582-dfaf1838a9f8_cap1_1
36,c87d83a2-d4b3-593f-9260-990ce55242fa,"It was minus 40 degrees Fahrenheit, and a lot of the children were wearing jeans. They forgot to bring snow pants again. But they wanted to go skiing anyway, and thats why we were there, so we took them skiing  even if a few of the less appropriately dressed kids turned back early.",a few of the less appropriately dressed kids,c87d83a2-d4b3-593f-9260-990ce55242fa_cap2_1,a lot of the children,c87d83a2-d4b3-593f-9260-990ce55242fa_cap1_0,"It was minus 40 degrees Fahrenheit, and a lot of the children were wearing jeans",c87d83a2-d4b3-593f-9260-990ce55242fa_cap0_0
37,cfb644f6-d0f2-5f19-819a-bd7f27829206,My camera lens is pressed against the window of the small floatplane as it flies below a thick ceiling of clouds. The mist clings to the hillsides of a temperate rainforest that descend steeply to the rocky coastline of southeast Alaska.,Alaska,cfb644f6-d0f2-5f19-819a-bd7f27829206_cap2_1,The mist clings to the hillsides of a temperate rainforest that descend steep,cfb644f6-d0f2-5f19-819a-bd7f27829206_cap0_2,My camera lens,cfb644f6-d0f2-5f19-819a-bd7f27829206_cap1_3
38,d44511bc-3b0c-5e99-9cd5-72e0f8853f0c,"It was still dark when I met Mohammed near the central market in Kolkata, the capital of the Indian state of West Bengal. He and two other men were piling dozens of enormous jute bags into the carriage of his black-and-red rickshaw  supplies, he said, to be delivered around the city.",Mohammed,d44511bc-3b0c-5e99-9cd5-72e0f8853f0c_cap2_2,He and two other men,d44511bc-3b0c-5e99-9cd5-72e0f8853f0c_cap1_0,"Mohammed is a jute seller in Kolkata, the capital of West Bengal",d44511bc-3b0c-5e99-9cd5-72e0f8853f0c_cap0_3
39,d7b12293-112d-5f45-95c7-572cf16293d9,"Its a sun-spackled morning at Hapuna Beach, like most mornings on the Kohala Coast of the Big Island of Hawaii. A turtle the size of our coffee table back home in California surfaces halfway through my swim. It proceeds to stay close by, like an old friend. I laugh, elated  but then a complicated upwelling of emotion follows.",then a complicated upwelling of emotion,d7b12293-112d-5f45-95c7-572cf16293d9_cap1_1,A turtle the size of our coffee table back home in California surfaces halfway through my swim,d7b12293-112d-5f45-95c7-572cf16293d9_cap0_1,Hapuna Beach,d7b12293-112d-5f45-95c7-572cf16293d9_cap2_1
40,db7e4de2-9278-523c-8f43-6aace6adfb9a,"Mario Bautista was digging relentlessly at the ground. Deep in the vast and unforgiving Chihuahuan Desert, in northeastern Mexico, he had spent nearly eight hours wading through a seemingly endless patch of thorny brush. Surrounding him were 25 members of his community, including his wife and children.",Mario Bautista spent nearly eight hours digging in the Chihuahuan Desert,db7e4de2-9278-523c-8f43-6aace6adfb9a_cap0_1,Chihuahuan Desert,db7e4de2-9278-523c-8f43-6aace6adfb9a_cap2_0,Mario Bautista,db7e4de2-9278-523c-8f43-6aace6adfb9a_cap1_3
41,e171d714-7783-501f-8d25-c72a8f364de7,"For a low-season trip to Honolulu in 2019, I scoured the internet for cheap, cheerful lodgings and the best I could come up with in Waikiki started around $300 a night. Looking ahead to this summer, 18 months and one pandemic later, the Ewa Hotel Waikiki has a condo suite with a kitchen and terrace for $129 a night, and the retro White Sands Hotel nearby has rooms from $179.","Looking ahead to this summer, 18 months and",e171d714-7783-501f-8d25-c72a8f364de7_cap1_1,the Ewa Hotel Waikiki,e171d714-7783-501f-8d25-c72a8f364de7_cap2_1,"For a low-season trip to Honolulu in 2019, I scoured the internet for",e171d714-7783-501f-8d25-c72a8f364de7_cap0_1
42,f74c61fc-7308-5802-ae91-adfbcbe4f097,"The site was nearly deserted. A few locals were tidying up after recent restoration work, and young camel drivers were out looking for clients. In the midday heat, the bright glow of the desert helped focus my attention on the pyramids themselves.",A few locals,f74c61fc-7308-5802-ae91-adfbcbe4f097_cap1_1,the bright glow of the desert,f74c61fc-7308-5802-ae91-adfbcbe4f097_cap2_0,The site was nearly deserted,f74c61fc-7308-5802-ae91-adfbcbe4f097_cap0_0
43,faf6e7de-7986-505b-af10-034422b6b458,"The Celebrity Edge is poised to set sail out of Fort Lauderdale, Fla., on Saturday, becoming the first major cruise ship to restart operations from a United States port since the pandemic all but hobbled the industry over a year ago.","The Celebrity Edge is poised to set sail out of Fort Lauderdale, Fla",faf6e7de-7986-505b-af10-034422b6b458_cap0_3,The Celebrity Edge,faf6e7de-7986-505b-af10-034422b6b458_cap1_1,The Celebrity Edge,faf6e7de-7986-505b-af10-034422b6b458_cap2_3
44,fce1df95-8134-5a51-974f-cd58c29224b9,"To understand how very different the experience of flying was before Sep. 11, 2001, consider this story from Felix Hernandez about ordering pizza. In 1999, Mr. Hernandez was the pilot on a Trans World Airlines flight from New Yorks Kennedy International Airport to Chicago that was nearing takeoff when it was called back because of weather. The gate that the Boeing 727 had left from was already filled, so Mr. Hernandez was told to taxi the plane to a parking area to wait out the delay.",Felix Hernandez was the pilot on a Trans World Airlines flight from New York to Chicago,fce1df95-8134-5a51-974f-cd58c29224b9_cap0_3,how very different the experience of flying,fce1df95-8134-5a51-974f-cd58c29224b9_cap1_2,the Boeing 727,fce1df95-8134-5a51-974f-cd58c29224b9_cap2_1
45,0045d2e7-0750-58d8-97f0-dabf8d954c55,"SAN FRANCISCO  Bitter over the end of a long relationship, estranged from his children and working carpentry jobs to keep a roof over his head after a time living on the streets, David DePape retreated into isolation, spending hours each day in the online worlds of gaming and chat rooms.",SAN FRANCISCO,0045d2e7-0750-58d8-97f0-dabf8d954c55_cap1_1,David DePape,0045d2e7-0750-58d8-97f0-dabf8d954c55_cap2_0,David DePape spent hours each day in the online worlds of gaming and chat,0045d2e7-0750-58d8-97f0-dabf8d954c55_cap0_0
46,01963ccc-4ee9-5878-9b2e-f59cc6312d5f,"Not long after a powerful quake hit West Java, Indonesia, on Monday, disaster began to pile upon disaster.",a powerful quake,01963ccc-4ee9-5878-9b2e-f59cc6312d5f_cap1_0,Indonesia,01963ccc-4ee9-5878-9b2e-f59cc6312d5f_cap2_1,"Not long after a powerful quake hit West Java, Indonesia, on Monday, disaster began",01963ccc-4ee9-5878-9b2e-f59cc6312d5f_cap0_1
