AnnotatorId,Gender Identification,Age,Race/Ethnicity,Religion,Education,Visual Arts Experience,Profession
annotator086,Woman,30-45,White/Caucasian,Atheist/Agnostic,Associates/Trade,None,"Health, Engineering, Science, and Technology"
annotator026,Transgender,22-30,Native American,Atheist/Agnostic,Bachelors,Hobby,"Arts, Culture, and Entertainment"
annotator072,Woman,22-30,White/Caucasian,Catholicism/Christianity,High School,None,"Health, Engineering, Science, and Technology"
annotator057,Woman,30-45,White/Caucasian,Atheist/Agnostic,Bachelors,5+ years,"Health, Engineering, Science, and Technology"
annotator076,Woman,30-45,White/Caucasian,Catholicism/Christianity,Bachelors,Artistic Interests,"Business, Management, and Administration"
annotator075,Woman,30-45,White/Caucasian,Catholicism/Christianity,Associates/Trade,None,Communications and Information Systems
annotator089,Man,30-45,White/Caucasian,Catholicism/Christianity,Masters,3-4 years,"Arts, Culture, and Entertainment"
annotator058,Transgender,22-30,White/Caucasian,Other,High School,3-4 years,"Arts, Culture, and Entertainment"
annotator032,Transgender,22-30,White/Caucasian,Other,High School,None,"Business, Management, and Administration"
annotator074,Transgender,30-45,White/Caucasian,Atheist/Agnostic,High School,1-2 years,Communications and Information Systems
annotator002,Woman,22-30,White/Caucasian,Catholicism/Christianity,Masters,5+ years,Communications and Information Systems
annotator083,Woman,30-45,White/Caucasian,Atheist/Agnostic,Bachelors,None,"Health, Engineering, Science, and Technology"
annotator025,Woman,45+,White/Caucasian,Atheist/Agnostic,Bachelors,None,"Business, Management, and Administration"
annotator071,Woman,45+,White/Caucasian,Catholicism/Christianity,Masters,None,"Business, Management, and Administration"
annotator055,Man,22-30,White/Caucasian,Atheist/Agnostic,Bachelors,1-2 years,"Health, Engineering, Science, and Technology"
annotator040,Man,30-45,Latino/Hispanic,Catholicism/Christianity,Bachelors,Hobby,"Health, Engineering, Science, and Technology"
annotator044,Man,30-45,White/Caucasian,Atheist/Agnostic,High School,1-2 years,Other
annotator013,Binary,22-30,Asian,Atheist/Agnostic,Bachelors,Hobby,"Health, Engineering, Science, and Technology"
annotator003,Man,22-30,White/Caucasian,Atheist/Agnostic,High School,None,"Business, Management, and Administration"
annotator022,Man,45+,White/Caucasian,Catholicism/Christianity,Bachelors,None,"Business, Management, and Administration"
annotator036,Man,22-30,Asian,Islam,Bachelors,1-2 years,"Arts, Culture, and Entertainment"
annotator066,Woman,30-45,White/Caucasian,Atheist/Agnostic,Associates/Trade,Artistic Interests,"Business, Management, and Administration"
annotator042,Woman,30-45,African-American/Black,Catholicism/Christianity,High School,3-4 years,"Arts, Culture, and Entertainment"
annotator021,Woman,22-30,White/Caucasian,Catholicism/Christianity,Masters,3-4 years,"Arts, Culture, and Entertainment"
annotator004,Woman,22-30,White/Caucasian,Catholicism/Christianity,Masters,None,Communications and Information Systems
annotator016,Woman,30-45,White/Caucasian,Catholicism/Christianity,High School,None,"Health, Engineering, Science, and Technology"
annotator034,Woman,30-45,White/Caucasian,Atheist/Agnostic,High School,3-4 years,Other
annotator018,Woman,30-45,White/Caucasian,Atheist/Agnostic,Bachelors,Artistic Interests,"Business, Management, and Administration"
annotator047,Woman,45+,White/Caucasian,Catholicism/Christianity,High School,None,"Business, Management, and Administration"
annotator060,Woman,30-45,White/Caucasian,Atheist/Agnostic,Bachelors,None,Communications and Information Systems
annotator082,Man,30-45,Asian,Buddhism,Bachelors,None,"Health, Engineering, Science, and Technology"
annotator059,Woman,45+,White/Caucasian,Atheist/Agnostic,Associates/Trade,Artistic Interests,"Health, Engineering, Science, and Technology"
annotator081,Man,30-45,White/Caucasian,Atheist/Agnostic,High School,None,"Arts, Culture, and Entertainment"
annotator005,Woman,30-45,White/Caucasian,Atheist/Agnostic,Masters,1-2 years,"Education, Law, Government, and Social Services"
annotator070,Woman,22-30,Asian,Catholicism/Christianity,Bachelors,Hobby,Communications and Information Systems
annotator000,Woman,22-30,Asian,Hinduism,Masters,None,"Health, Engineering, Science, and Technology"
annotator033,Man,22-30,Asian,Catholicism/Christianity,Associates/Trade,1-2 years,"Arts, Culture, and Entertainment"
annotator061,Woman,30-45,White/Caucasian,Catholicism/Christianity,Bachelors,Artistic Interests,Other
annotator028,Woman,22-30,Asian,Catholicism/Christianity,Bachelors,Artistic Interests,Other
annotator046,Man,22-30,White/Caucasian,Atheist/Agnostic,High School,None,"Arts, Culture, and Entertainment"
annotator056,Woman,22-30,White/Caucasian,Atheist/Agnostic,Masters,Hobby,"Health, Engineering, Science, and Technology"
annotator087,Man,22-30,Asian,Islam,Masters,Artistic Interests,"Arts, Culture, and Entertainment"
annotator010,Transgender,18-22,White/Caucasian,Other,Bachelors,5+ years,"Arts, Culture, and Entertainment"
annotator029,Woman,30-45,White/Caucasian,Catholicism/Christianity,Bachelors,Hobby,"Business, Management, and Administration"
annotator053,Woman,22-30,Asian,Catholicism/Christianity,Bachelors,None,Other
annotator054,Woman,30-45,Asian,Catholicism/Christianity,Bachelors,Hobby,"Business, Management, and Administration"
