AnnotatorId,Does a thorough job,Is reserved,Is outgoing,Gets nervous easily,Has few artistic interests,"Relaxed, handles stress well",Tends to find fault with others,Is trusting,Tends to be lazy,Has an active imagination,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness
annotator062,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,0,4,4,-3,3
annotator011,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,0,2,4,-1,3
annotator086,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,-2,0,2,0,2
annotator026,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,1,4,4,-3,4
annotator072,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,2,1,3,-2,2
annotator057,Strongly Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,-2,2,4,-2,2
annotator076,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,3,4,3,-3,0
annotator075,Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,1,2,2,-2,0
annotator089,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,4,4,4,-4,0
annotator058,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Agree,0,2,4,1,4
annotator032,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,0,1,3,-1,1
annotator074,Strongly Agree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,0,3,4,1,2
annotator002,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,4,0,4,-4,0
annotator083,Strongly Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Neutral,-2,0,4,2,0
annotator071,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,0,2,4,-2,1
annotator055,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,0,3,3,-3,4
annotator040,Agree,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,-3,-1,2,2,3
annotator044,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Agree,-3,-2,1,-2,1
annotator013,Strongly Agree,Disagree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,1,1,3,0,4
annotator003,Strongly Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Disagree,Agree,2,-1,3,-3,0
annotator022,Strongly Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,2,2,4,-4,3
annotator036,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,3,2,4,-4,4
annotator066,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,0,0,1,0,0
annotator042,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,-4,-4,0,0,3
annotator021,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Agree,0,2,3,-3,0
annotator004,Agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Agree,2,1,3,-1,0
annotator016,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,1,2,4,-4,0
annotator034,Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Agree,2,-1,2,4,4
annotator018,Strongly Agree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,-1,1,3,-2,3
annotator047,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,-2,2,2,-1,1
annotator060,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,-1,-3,1,3,4
annotator082,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Disagree,-3,2,1,-2,-1
annotator059,Strongly Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,1,4,2,-1,1
annotator081,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,-2,0,-1,3,1
annotator005,Strongly Agree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,-1,4,4,-2,2
annotator070,Strongly Agree,Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,2,2,4,-2,1
annotator000,Strongly Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Neutral,-1,1,3,2,-1
annotator033,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,1,4,3,-2,4
annotator061,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,-1,2,3,-2,0
annotator028,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,1,1,2,-1,0
annotator046,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,-3,2,0,-1,0
annotator056,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,3,0,1,-1,4
annotator087,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,3,0,2,-2,2
annotator010,Agree,Neutral,Agree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,1,2,2,-2,4
annotator029,Strongly Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,2,4,4,-3,0
annotator053,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,4,3,4,-3,3
annotator054,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,0,0,2,0,1
